Name;Phone;Email;Website;Address;
The Dolder Grand;https://tel.search.ch/zuerich/kurhausstrasse-65/the-dolder-grand;044 456 60 00 *;;;Kurhausstrasse 65, 8032 Zürich
Grand Hotel Quellenhof & Spa Suites;https://tel.search.ch/bad-ragaz/bernhard-simonstrasse/grand-hotel-quellenhof-spa-suites;081 303 30 30 *;;;Bernhard-Simonstrasse, 7310 Bad Ragaz/SG
Grand Resort Bad Ragaz AG;https://tel.search.ch/bad-ragaz/bernhard-simonstrasse/grand-resort-bad-ragaz-ag-2;081 303 30 30 *;;;Bernhard-Simonstrasse, 7310 Bad Ragaz/SG
Säntis Schwebebahn AG;https://tel.search.ch/urnaesch/schwaegalp/saentis-schwebebahn-ag;071 365 65 65 *;;;Schwägalp, 9107 Urnäsch/AR
Seerose Resort & Spa;https://tel.search.ch/meisterschwanden/seerosenstrasse-1/seerose-resort-spa;056 676 68 68 *;;;Seerosenstrasse 1, 5616 Meisterschwanden/AG
Hotel Seedamm Plaza;https://tel.search.ch/pfaeffikon/seedammstrasse-3/hotel-seedamm-plaza;055 417 17 17 *;;;Seedammstrasse 3, 8808 Pfäffikon/SZ
Swiss Holiday Park;https://tel.search.ch/morschach/-/swiss-holiday-park-morschach;041 825 50 50 *;;;6443 Morschach/SZ
Nippon Sun Seedamm Plaza;https://tel.search.ch/pfaeffikon/seedammstrasse-3/nippon-sun-seedamm-plaza-2;055 417 17 17 *;;;Seedammstrasse 3, 8808 Pfäffikon/SZ
Swiss Holiday Park;https://tel.search.ch/morschach/dorfstrasse-10/swiss-holiday-park-2;041 825 50 50 *;;;Dorfstrasse 10, 6443 Morschach/SZ
Widder Hotel;https://tel.search.ch/zuerich/rennweg-7/widder-hotel;044 224 25 26 *;;;Rennweg 7, 8001 Zürich
Hotel Bad Horn AG;https://tel.search.ch/horn/seestrasse-36/hotel-bad-horn-ag;071 844 51 51 *;;;Seestrasse 36, 9326 Horn/TG
Hotel Beaulac;https://tel.search.ch/neuchatel/quai-leopold-robert-2/hotel-beaulac;032 723 11 11 *;;;Quai Léopold-Robert 2, 2000 Neuchâtel
Hotel Schweizerhof;https://tel.search.ch/lenzerheide-lai/voa-principala-39/hotel-schweizerhof-4;081 385 25 25;;;Voa Principala 39, 7078 Lenzerheide/Lai/GR
Landgasthof Seelust AG;https://tel.search.ch/egnach/wiedehorn/landgasthof-seelust-ag;071 474 75 75 *;;;Wiedehorn, 9322 Egnach/TG
The Steakhouse;https://tel.search.ch/lachen/hafenstrasse-4/the-steakhouse;055 451 73 73 *;;;Hafenstrasse 4, 8853 Lachen/SZ
Hotel Restaurant Vogelsang;https://tel.search.ch/eich/vogelsang-2/hotel-restaurant-vogelsang;041 462 66 66 *;;;Vogelsang 2, 6205 Eich/LU
Eden Roc;https://tel.search.ch/ascona/via-albarelle-16/eden-roc;091 785 71 71 *;;;via Albarelle 16, 6612 Ascona/TI
Schweizerhof Luzern Hotel;https://tel.search.ch/luzern/schweizerhofquai-3a/schweizerhof-luzern-hotel;041 410 04 10;;;Schweizerhofquai 3a, 6004 Luzern
Seminar- und Wellnesshotel Stoos;https://tel.search.ch/stoos/ringstrasse-10/seminar-und-wellnesshotel-stoos;041 817 44 44 *;;;Ringstrasse 10, 6433 Stoos/SZ
Hotel UTO KULM AG Top of Zürich;https://tel.search.ch/uetliberg/-/uto-kulm;044 457 66 66 *;;;Top of Zürich, 8143 Uetliberg/ZH
Die Cinema 8 AG;https://tel.search.ch/schoeftland/feldackerstrasse-1/die-cinema-8-ag;062 888 14 88 *;;;Feldackerstrasse 1, 5040 Schöftland/AG
Säntispark;https://tel.search.ch/abtwil/wiesenbachstrasse-5/saentispark;071 313 11 11 *;;;Wiesenbachstrasse 5, 9030 Abtwil/SG
Sonnmatt Luzern AG;https://tel.search.ch/luzern/hemschlenstrasse/sonnmatt-luzern-ag;041 375 32 32;;;Hemschlenstrasse, 6006 Luzern
Bad Bubendorf Hotel;https://tel.search.ch/bubendorf/kantonsstrasse-3/bad-bubendorf-hotel;061 935 55 55 *;;;Kantonsstrasse 3, 4416 Bubendorf/BL
ROMANTIK SEEHOTEL SONNE;https://tel.search.ch/kuesnacht/seestrasse-120/romantik-seehotel-sonne;044 914 18 18 *;;;Seestrasse 120, 8700 Küsnacht/ZH
Crowne Plaza Zurich;https://tel.search.ch/zuerich/badenerstrasse-420/crowne-plaza-zurich;044 404 44 44 *;;;Badenerstrasse 420, 8004 Zürich
Des Balances;https://tel.search.ch/luzern/metzgerrainle-7/des-balances;041 418 28 28;;;Metzgerrainle 7, 6004 Luzern
Hotel Crowne Plaza Zurich;https://tel.search.ch/zuerich/badenerstrasse-420/hotel-crowne-plaza-zurich;044 404 44 44 *;;;Badenerstrasse 420, 8004 Zürich
Lenkerhof gourmet spa resort;https://tel.search.ch/lenk-im-simmental/badstrasse-20/lenkerhof-gourmet-spa-resort;033 736 36 36 *;;;Badstrasse 20, 3775 Lenk im Simmental/BE
Rössli;https://tel.search.ch/illnau/kempttalstrasse-52/roessli-2;052 235 26 62;;;Kempttalstrasse 52, 8308 Illnau/ZH
Hotel Jagd-Schloss  ****Garni;https://tel.search.ch/merlischachen/rebmattweg-23/hotel-jagd-schloss-garni;041 854 54 54 *;;;Rebmattweg 23, 6402 Merlischachen/SZ
Hotel Linde Fislisbach;https://tel.search.ch/fislisbach/niederrohrdorferstrasse-1/hotel-linde-fislisbach;056 493 12 80;;;Niederrohrdorferstrasse 1, 5442 Fislisbach/AG
Schloss-Hotel ****;https://tel.search.ch/merlischachen/chappelmattweg-4/schloss-hotel;041 854 54 54 *;;;Chappelmattweg 4, 6402 Merlischachen/SZ
Seehotel Hermitage Luzern;https://tel.search.ch/luzern/seeburgstrasse-72/seehotel-hermitage-luzern;041 375 81 81 *;;;Seeburgstrasse 72, 6006 Luzern
Swiss-Chalet Merlischachen AG;https://tel.search.ch/merlischachen/luzernerstrasse-204/swiss-chalet-merlischachen-ag;041 854 54 54;;;Luzernerstrasse 204, 6402 Merlischachen/SZ
Leuen;https://tel.search.ch/uitikon-waldegg/birmensdorferstrasse-56/leuen;044 406 15 00;;;Birmensdorferstrasse 56, 8142 Uitikon Waldegg/ZH
Hotel Waldhaus;https://tel.search.ch/sils-segl-maria/hotel-waldhaus/hotel-waldhaus;081 838 51 00 *;;;Hotel Waldhaus, 7514 Sils/Segl Maria/GR
Schäfli;https://tel.search.ch/siebnen/glarnerstrasse-59/schaefli;055 440 84 36 *;;;Glarnerstrasse 59, 8854 Siebnen/SZ
Hirschen am See;https://tel.search.ch/meilen/seestrasse-856/hirschen-am-see;044 925 05 00 *;;;Seestrasse 856, 8706 Meilen/ZH
Park Weggis;https://tel.search.ch/weggis/hertensteinstrasse-34/park-weggis-2;041 392 05 05 *;;;Hertensteinstrasse 34, 6353 Weggis/LU
Park Weggis;https://tel.search.ch/weggis/hertensteinstrasse-34/park-weggis;041 392 05 05 *;;;Hertensteinstrasse 34, 6353 Weggis/LU
Stern;https://tel.search.ch/chur/reichsgasse-11/stern;081 258 57 57;;;Reichsgasse 11, 7000 Chur
Unique Hotel Post Zermatt;https://tel.search.ch/zermatt/bahnhofstrasse-41/unique-hotel-post-zermatt;027 967 19 31;;;Bahnhofstrasse 41, 3920 Zermatt/VS
